"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006066","GO:0006066","alcohol metabolic process","71/1320","368/18805",0.192934782608696,2.74858983860343,9.30777765602984,3.96036622483745e-15,2.30691332596781e-11,1.64250978166943e-11,"LEP/RBP4/AKR1C2/AKR1C1/ADH1B/PCK1/AKR1C3/RETSAT/QKI/ACADL/CAT/ALDH2/EDNRB/CEBPA/PLPP3/ITPK1/OSBPL1A/ACAA2/CYB5R3/PLPP1/DHRS3/CES1/ADH1C/HMGCR/ALDH3A2/IGF1/GNAI1/IDH2/PLPP2/DHDDS/LEPR/RDH11/MSMO1/PLA2G4A/ALDH1A1/DAB2/VLDLR/DGAT1/SPTSSA/ABCA1/NFE2L1/GCH1/SREBF2/LIPE/ALDH3B2/P2RY1/APP/NR0B2/QDPR/GK/FDPS/PTS/INPP4B/RDH5/ABCA5/IDH1/APOC1/TM7SF2/PNPLA2/DHCR24/CYP3A4/DKK3/CYP51A1/LSS/FGFR1/ASAH1/DPM2/SQLE/BMP2/TSKU/SULT1B1",71
"GO:0072001","GO:0072001","renal system development","61/1320","336/18805",0.181547619047619,2.58636589105339,8.06177327238262,5.43859322874166e-12,1.22589073666969e-08,8.72827558613705e-09,"RBP4/ADIPOQ/CD24/EPCAM/TACSTD2/CDKN1C/CAT/SDC1/ANGPT1/GATA3/EDNRB/TFAP2A/EZH2/SOX4/MME/SDC4/KCNJ8/COL4A1/ASS1/SERPINF1/ACAT1/SOX9/KANK2/TEK/PCSK5/FGF2/ZBTB16/RGN/GPC3/IL6R/ADAMTS1/DLG5/SMAD6/BCL2/PROM1/TNS2/AQP1/PLXND1/CENPF/AGTR1/SMAD7/CTNNB1/ZNG1A/PECAM1/NID1/LAMB2/GLI2/TFAP2B/SPRY1/WFS1/EGR1/CALB1/FGFR1/RET/ITGB3/STAT1/EMX2/BMP2/HYAL2/SMAD5/PTPRO",61
"GO:0001659","GO:0001659","temperature homeostasis","42/1320","184/18805",0.228260869565217,3.25185276679842,8.43386551528253,6.31360036053060e-12,1.22589073666969e-08,8.72827558613705e-09,"LEP/FABP4/ADIPOQ/G0S2/CD36/CAV1/QKI/EPAS1/ACADL/PTGER3/CXCR4/ACSL1/EDNRB/CIDEA/ADAMTS5/HADH/NPR3/LAMA4/TFE3/FOXO1/FABP5/PLCL2/ADIPOR2/ABHD6/LEPR/SMARCA4/NOVA1/ALDH1A1/GPX1/EBF2/SCD/CEBPB/HSF1/PEMT/TLE3/TLR4/NR1H3/LPIN1/EGR1/ABAT/ADAM17/ID1",42
"GO:0070482","GO:0070482","response to oxygen levels","63/1320","358/18805",0.175977653631285,2.50701498222448,7.90998168499534,9.88627814551022e-12,1.33702661439658e-08,9.51955701056705e-09,"LEP/ADIPOQ/CD24/ANGPTL4/PPARG/RGCC/CAV1/EPAS1/CAT/CXCR4/TGFBR3/ADM/FZD4/ACAA2/SOX4/ATP6V1G1/KCNJ8/FOXO1/AQP3/BNIP3L/VEGFD/TEK/HIPK2/CRYAB/MYB/CCNA2/ALAD/FOS/SLC11A2/POSTN/BNIP3/RAD21/LMNA/TWIST1/DDR2/LPAR1/HK2/SLC29A1/HSF1/BCL2/PMAIP1/AQP1/CITED2/RTN4/DDAH1/COL1A1/PINK1/STC2/MAP3K7/HILPDA/PLOD2/ZEB2/ANG/EGR1/ABAT/MIEF1/AK4/BIRC2/KCNK2/BMP2/INHBA/ADAM17/ROCK2",63
"GO:0001666","GO:0001666","response to hypoxia","58/1320","316/18805",0.183544303797468,2.61481108553893,7.95404091739252,1.14766232995415e-11,1.33702661439658e-08,9.51955701056705e-09,"LEP/ADIPOQ/CD24/ANGPTL4/PPARG/RGCC/CAV1/EPAS1/CAT/CXCR4/TGFBR3/ADM/FZD4/ACAA2/SOX4/KCNJ8/AQP3/BNIP3L/VEGFD/TEK/HIPK2/CRYAB/MYB/CCNA2/ALAD/FOS/SLC11A2/POSTN/BNIP3/RAD21/LMNA/TWIST1/DDR2/HK2/SLC29A1/HSF1/BCL2/PMAIP1/AQP1/CITED2/RTN4/DDAH1/PINK1/STC2/MAP3K7/HILPDA/PLOD2/ANG/EGR1/ABAT/MIEF1/AK4/BIRC2/KCNK2/BMP2/INHBA/ADAM17/ROCK2",58
"GO:1903829","GO:1903829","positive regulation of protein localization","78/1320","499/18805",0.156312625250501,2.22686281654217,7.63183226109206,1.6826547768737e-11,1.63357734588155e-08,1.16309821418989e-08,"LEP/RBP4/SORBS1/PPARG/FERMT2/ITGB1BP1/MYOM1/SPTBN1/EPB41L2/CDH1/LIMK2/SFN/TMEM97/SOX4/ANK3/PRKCI/AMOTL2/IRS2/IGF1/GNAI1/EGFR/CDK1/XBP1/LGALS3/ABLIM3/CCT2/CCT6A/RER1/ASPH/CD81/STOM/TRIM8/ATP2B4/SREBF2/CCT3/PPP3CB/AGR2/FRMD4A/MYH10/RAN/RTN4/JAK1/ACSL3/APP/NR0B2/PINK1/TLR4/SRI/TMEM132A/FYN/PECAM1/SH3GLB1/EIF2AK3/CAMK1/KCNB1/FARP1/SERP1/CHP1/PIK3R1/FZD5/ANG/CORO2B/ECT2/ABAT/MIEF1/EPHA3/TCF7L2/SORL1/GPSM2/RAPGEF3/CLIP3/ARIH2/HYAL2/NEDD9/EZR/ROCK2/CCT5/KIF20B",78
"GO:0036293","GO:0036293","response to decreased oxygen levels","59/1320","330/18805",0.178787878787879,2.54705004591368,7.79019588139172,2.32750883850675e-11,1.93681985490026e-08,1.37900523664911e-08,"LEP/ADIPOQ/CD24/ANGPTL4/PPARG/RGCC/CAV1/EPAS1/CAT/CXCR4/TGFBR3/ADM/FZD4/ACAA2/SOX4/KCNJ8/AQP3/BNIP3L/VEGFD/TEK/HIPK2/CRYAB/MYB/CCNA2/ALAD/FOS/SLC11A2/POSTN/BNIP3/RAD21/LMNA/TWIST1/DDR2/HK2/SLC29A1/HSF1/BCL2/PMAIP1/AQP1/CITED2/RTN4/DDAH1/PINK1/STC2/MAP3K7/HILPDA/PLOD2/ZEB2/ANG/EGR1/ABAT/MIEF1/AK4/BIRC2/KCNK2/BMP2/INHBA/ADAM17/ROCK2",59
"GO:0001822","GO:0001822","kidney development","58/1320","325/18805",0.178461538461538,2.54240093240093,7.70667854982761,3.71142340748346e-11,2.6951015958318e-08,1.91889772533585e-08,"ADIPOQ/CD24/EPCAM/TACSTD2/CDKN1C/CAT/SDC1/ANGPT1/GATA3/EDNRB/TFAP2A/EZH2/SOX4/MME/SDC4/KCNJ8/ASS1/SERPINF1/ACAT1/SOX9/KANK2/TEK/PCSK5/FGF2/ZBTB16/RGN/GPC3/IL6R/ADAMTS1/DLG5/SMAD6/BCL2/PROM1/TNS2/AQP1/PLXND1/CENPF/AGTR1/SMAD7/CTNNB1/ZNG1A/PECAM1/NID1/LAMB2/GLI2/TFAP2B/SPRY1/WFS1/EGR1/CALB1/FGFR1/RET/ITGB3/STAT1/BMP2/HYAL2/SMAD5/PTPRO",58
"GO:0031589","GO:0031589","cell-substrate adhesion","62/1320","361/18805",0.171745152354571,2.44671787123311,7.62586581302203,4.16410546995471e-11,2.6951015958318e-08,1.91889772533585e-08,"SORBS1/TACSTD2/CD36/KANK1/FERMT2/ITGB1BP1/ANGPT1/ECM2/DLC1/DDR1/ITGA7/FZD4/SVEP1/SDC4/PTPRK/VWF/PARVA/EGFL6/PTEN/TEK/FN1/LAMC1/PPM1F/ARHGEF7/POSTN/DAB2/SMAD6/RRAS/BCL2/FBLN5/ITGA1/CEACAM6/AGR2/MDK/LIMCH1/DUSP3/TYRO3/S100A10/COL1A1/EFEMP2/CTNNB1/APOD/SGCE/NID1/FZD7/PARVB/FBLN2/VAMP3/PIK3R1/CORO2B/ANXA2/EPHA3/ITGB4/MAP4K4/HRG/ITGB3/EPHB1/FAM107A/NEDD9/PTPRO/ROCK2/LYVE1",62
"GO:0010876","GO:0010876","lipid localization","75/1320","482/18805",0.155601659751037,2.21673425122595,7.43532969322403,5.19438886820962e-11,2.86414117049866e-08,2.03925298608804e-08,"ACACB/LPL/LEP/RBP4/FABP4/ADIPOQ/CIDEC/AKR1C1/CD36/ABCA8/PPARG/CAV1/ACSL1/STX12/TMEM97/CIDEA/FZD4/OSBPL1A/KCNJ8/IRS2/APOLD1/FABP5/CES1/C1QTNF1/ANXA1/RXRA/CLU/ATP9B/ESYT1/PLIN2/PTPN11/MYB/PLA2G4A/ABHD5/PLSCR4/ANO3/NME4/MIF/DAB2/VLDLR/ATP9A/ABCA1/SREBF2/PLEKHA8P1/ABCD4/TMEM41B/PRELID3B/GOT2/ACSL3/NR0B2/AGTR1/EPRS1/APOD/VDAC1/VPS4A/NR1H3/APOL3/ABCA5/HILPDA/APOC1/PNPLA2/APOL6/CRY1/ABCA6/ANXA2/CRHR1/CHKA/VMP1/GULP1/PTPN2/ITGB3/TSKU/SPP1/INHBA/ABCD2",75
