"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","48/808","233/9507",0.206008583690987,2.42391535290868,6.706539817157,4.97511354055704e-09,1.69651371732995e-06,1.39303179135597e-06,"2273/1832/8736/6382/6711/481/3679/477/161176/6385/1756/1282/288/6640/476/7431/6445/2335/1284/4000/2274/3672/25777/4628/1634/1730/10529/1301/1277/1837/8082/7171/287/8910/4811/3908/2199/6709/23002/1278/3691/6645/3690/6383/23345/8572/10398/10611",48
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","22/808","76/9507",0.289473684210526,3.40597316310578,6.41783610956545,1.82196481148896e-07,3.10645000358868e-05,2.55075073608455e-05,"4023/2167/9370/5346/10580/51129/948/5468/5105/33/2180/2171/4199/6256/364/123/6319/2181/2710/10062/10873/51",22
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","38/808","203/9507",0.187192118226601,2.20251914353997,5.27806928523095,2.48287475165273e-06,0.000239455976821203,0.0001966207434309,"858/857/3679/2012/1282/3910/7450/55742/3479/3725/5728/2277/1956/2335/3915/6654/1284/596/3672/2321/5500/1277/1499/2534/3913/29780/3908/5295/23396/1278/3691/10451/329/3690/6696/2909/10398/9475",38
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","38/808","204/9507",0.186274509803922,2.19172248107164,5.24383025905084,2.80886776329857e-06,0.000239455976821203,0.0001966207434309,"858/857/3316/6382/8322/6385/288/3479/1956/2247/7078/2335/5781/2719/22800/6654/7291/6237/1634/8321/5500/1277/1499/7099/2099/287/22808/8324/5600/5295/7855/1278/10451/2260/3690/6383/7430/9475",38
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","26/808","117/9507",0.222222222222222,2.61468646864686,5.3557248925337,3.98197313638171e-06,0.000245798166871117,0.000201828406814993,"847/48/1892/38/4199/4329/3418/9104/8802/1431/3099/5095/128/2806/8803/7086/10873/3417/4190/5634/6472/5226/8801/2098/51/1738",26
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","15/808","47/9507",0.319148936170213,3.75513482199284,5.77053575792274,4.32489443174985e-06,0.000245798166871117,0.000201828406814993,"32/125/5105/217/38/4199/126/3945/224/128/10873/2739/4190/223/1738",15
"hsa00640","Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","12/808","32/9507",0.375,4.41228341584158,5.89251090880602,5.98309008456813e-06,0.000291461959833962,0.000239323603382725,"32/1892/4329/3945/8802/5095/8803/55862/18/8801/51/1738",12
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","14/808","43/9507",0.325581395348837,3.83081970987796,5.66994691328572,6.93984214538976e-06,0.000295810771447238,0.000242894475088642,"125/33/2180/217/10449/3033/1892/38/126/224/128/2181/223/51",14
"hsa04923","Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","16/808","59/9507",0.271186440677966,3.19080382614533,5.1443377484268,2.14368052268225e-05,0.00081221673137183,0.000666922829278922,"2167/5346/63924/5140/5733/11145/11343/8660/364/2770/51099/4881/3991/112/57104/5295",16
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","20/808","89/9507",0.224719101123595,2.64406496829458,4.74902609236754,4.30115214994567e-05,0.00146669288313147,0.00120432260198479,"948/6382/3679/6385/1282/3910/7450/2335/3915/1284/3672/3161/1277/961/3913/3908/1278/3691/3690/6696",20
"hsa00020","Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","10/808","30/9507",0.333333333333333,3.9220297029703,4.88517058356051,0.000115723810735833,0.00358743813281083,0.00294569700054848,"5105/48/3418/8802/1431/8803/3417/4190/8801/1738",10
