"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","threshold"
"43427_at",-1949.5416744186,1445.79647906977,-9.4496210270718,6.54317504324788e-15,8.78629090563795e-11,-4.21514218556165,"ACACB","Down"
"49452_at",-2645.65601860465,2374.59596744186,-9.40957960328921,7.88609334976255e-15,8.78629090563795e-11,-4.21676140098093,"ACACB","Down"
"203548_s_at",-3561.4558627907,2560.38565,-9.25303425200499,1.636615708105e-14,1.21562359412346e-10,-4.22316016133976,"LPL","Down"
"207092_at",-2439.53672093023,1635.74252790698,-9.11610508901778,3.10033676776494e-14,1.72712010490265e-10,-4.22884632514453,"LEP","Down"
"219140_s_at",-2910.60338372093,1756.58399651163,-9.03969832394092,4.4284881979041e-14,1.97360005027794e-10,-4.23205538295427,"RBP4","Down"
"209699_x_at",-4107.89393953488,3408.4834255814,-8.90466934905897,8.31584566807645e-14,3.08836648369579e-10,-4.2377897954658,"AKR1C2","Down"
"215695_s_at",-2692.13434418605,2080.53973488372,-8.74705436919074,1.73484753286233e-13,5.52251536782447e-10,-4.24458526042139,"GYG2","Down"
"203980_at",-5179.06234883721,5368.09138372093,-8.71334630100836,2.03021089417343e-13,5.65489866935832e-10,-4.2460527537978,"FABP4","Down"
"205382_s_at",-4092.26366046512,2848.98001860465,-8.65328124256811,2.68650766580366e-13,6.65149447967811e-10,-4.24868006079209,"CFD","Down"
"207175_at",-4117.25534883721,3796.40830232558,-8.6146417692863,3.21681067035244e-13,7.16801921674635e-10,-4.25037853688951,"ADIPOQ","Down"
"210964_s_at",-1752.2353255814,1271.05043023256,-8.58641593368584,3.66916888897251e-13,7.43273548663403e-10,-4.2516233814666,"GYG2","Down"
"205913_at",-3188.12220930232,2508.74273255814,-8.53503236827244,4.66196336276818e-13,8.65687746771361e-10,-4.25389846363158,"PLIN1","Down"
"204388_s_at",-1124.75342790698,981.903309302326,-8.50109491061795,5.46060784654292e-13,9.359901895732e-10,-4.25540738773447,"MAOA","Down"
"218087_s_at",-2470.96604883721,1870.22225465116,-8.47442305558476,6.18301719384881e-13,9.84115515218094e-10,-4.25659677453667,"SORBS1","Down"
"210201_x_at",-1094.5698372093,1246.01529069767,-8.35921451671995,1.05719395696178e-12,1.57049686286529e-09,-4.26176960318862,"BIN1","Down"
"219295_s_at",-2285.70115581395,1740.68093372093,-8.32211938017088,1.25636158538873e-12,1.67259777153124e-09,-4.26344730751093,"PCOLCE2","Down"
"209771_x_at",3195.3525116279,3276.16653488372,8.31877737395717,1.27604730583992e-12,1.67259777153124e-09,-4.26359874590136,"CD24","Up"
"203549_s_at",-3731.30534883721,4362.99313953488,-8.26575064313008,1.6329480568184e-12,1.97200791661765e-09,-4.26600795872594,"LPL","Down"
"204894_s_at",-1866.35923255814,1679.59936046512,-8.25945316112124,1.6814679538543e-12,1.97200791661765e-09,-4.26629487396172,"AOC3","Down"
"218168_s_at",-887.763434883721,748.62471744186,-8.20631125928284,2.15259674555422e-12,2.3253686433404e-09,-4.26872274059429,"COQ8A","Down"
"213524_s_at",-2971.27904651163,3178.22652325581,-8.20245859077608,2.19147967105634e-12,2.3253686433404e-09,-4.26889922060734,"G0S2","Down"
"212741_at",-2521.20119069767,1841.46626511628,-8.17918690521567,2.4417047748969e-12,2.47311397722853e-09,-4.26996656518471,"MAOA","Down"
"203571_s_at",-984.611190697675,707.750502325581,-8.16097871906852,2.65719564815662e-12,2.57436046208148e-09,-4.27080326780926,"ADIRF","Down"
"221009_s_at",-329.483376744186,261.714334883721,-8.1154629337775,3.28250712543522e-12,3.03885386217484e-09,-4.27290090764437,"ANGPTL4","Down"
"205220_at",-722.542953488372,700.814755813954,-8.10729237842137,3.40938592444334e-12,3.03885386217484e-09,-4.27327837555704,"HCAR3","Down"
"219398_at",-2918.4251627907,3287.78672093023,-8.02375035889696,5.02323978113606e-12,4.30510969396365e-09,-4.27715387740151,"CIDEC","Down"
